,audience,comment,presents,share,url,Time
168,184,3,32,0,http://upscuw.changba.com/1140394202.mp3,2019-02-13 00:00:00
169,157,6,34,1,http://qiniuuwmp3.changba.com/1140391867.mp3,2019-02-13 00:00:00
170,161,2,4,0,http://upscuw.changba.com/1139155419.mp3,2019-02-08 00:00:00
171,,,,,,
172,71,5,2,0,http://qiniuuwmp3.changba.com/1138931167.mp3,2019-02-08 00:00:00
173,128,4,6,1,http://qiniuuwmp3.changba.com/1138699753.mp3,2019-02-06 00:00:00
174,76,1,1,2,http://upscuw.changba.com/1138699236.mp3,2019-02-06 00:00:00
175,108,2,3,0,https://qiniuuwmp3.changba.com/1138460777.mp3,2019-02-05 00:00:00
176,90,4,8,1,http://upscuw.changba.com/1138457210.mp3,2019-02-05 00:00:00
177,223,9,6,2,http://qiniuuwmp3.changba.com/1138288372.mp3,2019-02-04 00:00:00
178,145,10,27,1,http://qiniuuwmp3.changba.com/1137516980.mp3,2019-02-01 00:00:00
179,,,,,,
180,97,1,2,1,http://upscuw.changba.com/1137278935.mp3,2019-01-31 00:00:00
181,173,3,26,1,http://qiniuuwmp3.changba.com/1137273768.mp3,2019-01-31 00:00:00
182,45,1,3,0,http://qiniuuwmp3.changba.com/1137267471.mp3,2019-01-31 00:00:00
183,88,1,10,1,http://qiniuuwmp3.changba.com/1136770549.mp3,2019-01-29 00:00:00
184,94,2,6,0,http://qiniuuwmp3.changba.com/1136240548.mp3,2019-01-27 00:00:00
185,98,11,7,1,http://upscuw.changba.com/1135734537.mp3,2019-01-25 00:00:00
186,82,5,7,0,http://upscuw.changba.com/1135734014.mp3,2019-01-25 00:00:00
187,63,1,0,0,http://qiniuuwmp3.changba.com/1134976998.mp3,2019-01-22 00:00:00
188,128,4,3,1,http://upscuw.changba.com/1134976430.mp3,2019-01-22 00:00:00
189,52,2,6,0,http://upscuw.changba.com/1134794328.mp3,2019-01-21 00:00:00
190,39,1,0,0,http://qiniuuwmp3.changba.com/1134791480.mp3,2019-01-21 00:00:00
191,59,2,2,0,http://qiniuuwmp3.changba.com/1134480375.mp3,2019-01-20 00:00:00
192,106,1,1,1,http://qiniuuwmp3.changba.com/1134454989.mp3,2019-01-20 00:00:00
193,160,6,21,4,http://upscuw.changba.com/1133913740.mp3,2019-01-18 00:00:00
194,70,3,4,2,http://qiniuuwmp3.changba.com/1133655864.mp3,2019-01-17 00:00:00
195,41,1,1,0,http://qiniuuwmp3.changba.com/1133654478.mp3,2019-01-17 00:00:00
196,158,5,18,1,http://qiniuuwmp3.changba.com/1133414445.mp3,2019-01-16 00:00:00
197,58,3,2,0,http://upscuw.changba.com/1133154736.mp3,2019-01-15 00:00:00
198,45,2,0,0,http://upscuw.changba.com/1133153332.mp3,2019-01-15 00:00:00
199,39,1,0,0,http://upscuw.changba.com/1133149019.mp3,2019-01-15 00:00:00
200,33,2,2,0,http://qiniuuwmp3.changba.com/1132967554.mp3,2019-01-14 00:00:00
201,54,3,7,0,http://qiniuuwmp3.changba.com/1132895279.mp3,2019-01-14 00:00:00
202,92,4,4,0,http://upscuw.changba.com/1132685934.mp3,2019-01-13 00:00:00
203,70,1,6,0,http://qiniuuwmp3.changba.com/1132062478.mp3,2019-01-11 00:00:00
204,76,2,19,2,http://qiniuuwmp3.changba.com/1131796486.mp3,2019-01-10 00:00:00
205,101,2,2,0,http://upscuw.changba.com/1131793620.mp3,2019-01-10 00:00:00
206,80,5,4,1,http://qiniuuwmp3.changba.com/1131793564.mp3,2019-01-10 00:00:00
207,261,4,8,2,http://qiniuuwmp3.changba.com/1130777198.mp3,2019-01-06 00:00:00
208,58,3,8,0,http://upscuw.changba.com/1130758543.mp3,2019-01-06 00:00:00
209,84,5,3,0,http://qiniuuwmp3.changba.com/1130503157.mp3,2019-01-05 00:00:00
210,79,5,4,2,http://upscuw.changba.com/1130494640.mp3,2019-01-05 00:00:00
211,157,10,19,1,http://qiniuuwmp3.changba.com/1130218260.mp3,2019-01-04 00:00:00
212,262,16,24,2,http://qiniuuwmp3.changba.com/1130175385.mp3,2019-01-14 00:00:00
213,160,15,11,0,http://qiniuuwmp3.changba.com/1129990562.mp3,2019-01-03 00:00:00
214,48,4,3,0,http://qiniuuwmp3.changba.com/1129934989.mp3,2019-01-03 00:00:00
215,99,6,6,3,http://qiniuuwmp3.changba.com/1129119888.mp3,2018-12-31 00:00:00
216,198,7,9,2,http://upscuw.changba.com/1129115742.mp3,2018-12-31 00:00:00
217,253,6,20,3,http://upscuw.changba.com/1128866604.mp3,2018-12-30 00:00:00
