,name,Page,audience,comment,presents,share,url,Time,CorrectedTime_U,CorrectedTime_L,fault
72,Thunderclouds,http://changba.com/s/isIJl7M4QCD5HkEYg19PtA,73,4,12,0,http://upscuw.changba.com/1182877206.mp3,2019-08-07 00:00:00,2019-08-07 00:00:00,2019-08-07 00:00:00,False
73,沉船,http://changba.com/s/vpweWbITKkLH048eCFBOrQ,71,2,3,0,http://upscuw.changba.com/1180995525.mp3,2019-07-29 00:00:00,2019-07-29 00:00:00,2019-07-29 00:00:00,False
74,让她降落,http://changba.com/s/Oyyb15V6XbBaEZuN71D4mw,89,9,5,3,http://upscuw.changba.com/1178380520.mp3,2019-07-16 00:00:00,2019-07-16 00:00:00,2019-07-16 00:00:00,False
75,雪落下的声音,http://changba.com/s/HBwvO7iY8oexlESSoZgrsw,111,4,14,2,http://upscuw.changba.com/1174683323.mp3,2019-06-28 00:00:00,2019-06-28 00:00:00,2019-06-28 00:00:00,False
76,Don't Leave Me Lonely,http://changba.com/s/FkwnonfpBh7bdyfBBlI4ZA,450,41,30,34,http://upscuw.changba.com/1172763007.mp3,2019-06-20 00:00:00,2019-06-20 00:00:00,2019-06-20 00:00:00,False
77,一个人没有同类,http://changba.com/s/LcHq8DvO-KUGrLPEnyYccQ,83,1,4,0,http://qiniuuwmp3.changba.com/1170158968.mp3,2019-06-07 00:00:00,2019-06-07 00:00:00,2019-06-07 00:00:00,False
78,爱,http://changba.com/s/fByH7Ym-z5losTSHFkxM0Q,130,4,9,0,http://upscuw.changba.com/1170158002.mp3,2019-06-07 00:00:00,2019-06-07 00:00:00,2019-06-07 00:00:00,False
79,My Songs Know What You Did In The Dark,http://changba.com/s/YmH4Mpjcf3BBCyK-aClkzw,127,4,2,1,http://qiniuuwmp3.changba.com/1169899882.mp3,2019-06-06 00:00:00,2019-06-06 00:00:00,2019-06-06 00:00:00,False
80,逆光,http://changba.com/s/bxypujsWDdXLK09plxStNg,246,8,23,4,http://upscuw.changba.com/1169262422.mp3,2019-06-03 00:00:00,2019-06-03 00:00:00,2019-06-03 00:00:00,False
81,光荣,http://changba.com/s/Ib4E_52J-rntcAbA2ZBkoA,49,2,6,0,http://upscuw.changba.com/1169257621.mp3,2019-06-03 00:00:00,2019-06-03 00:00:00,2019-06-03 00:00:00,False
82,梦里花,http://changba.com/s/QH8XHfh6Zg8mYgfpdjf_qA,89,2,6,1,http://qiniuuwmp3.changba.com/1169257291.mp3,2019-06-03 00:00:00,2019-06-03 00:00:00,2019-06-03 00:00:00,False
83,Streetcar,http://changba.com/s/mBUePSuovrXACMiKdhV3vA,118,1,0,0,http://qiniuuwmp3.changba.com/1169256157.mp3,2019-06-03 00:00:00,2019-06-03 00:00:00,2019-06-03 00:00:00,False
84,Do You Remember,http://changba.com/s/dMFshWmxTw3-GshIXEkRFA,66,3,2,0,http://upscuw.changba.com/1169013631.mp3,2019-06-02 00:00:00,2019-06-02 00:00:00,2019-06-02 00:00:00,False
85,凤凰于飞,http://changba.com/s/a3JXhQu7JicX_te9A0K5OQ,73,3,6,0,http://upscuw.changba.com/1169002805.mp3,2019-06-02 00:00:00,2019-06-02 00:00:00,2019-06-02 00:00:00,False
86,Breathless,http://changba.com/s/STvBeHFJGDPO6IstKeo5kg,93,4,6,1,http://upscuw.changba.com/1168609331.mp3,2019-06-01 00:00:00,2019-06-01 00:00:00,2019-06-01 00:00:00,False
87,Glamorous,http://changba.com/s/nnn53fQF08oZr7wVlwFhaA,52,3,1,4,http://upscuw.changba.com/1168608122.mp3,2019-06-01 00:00:00,2019-06-01 00:00:00,2019-06-01 00:00:00,False
88,很久以前,http://changba.com/s/zROtieG5Z3_zrV183j9T9Q,68,7,3,1,http://qiniuuwmp3.changba.com/1168604768.mp3,2019-06-01 00:00:00,2019-06-01 00:00:00,2019-06-01 00:00:00,False
89,Extraordinary Being,http://changba.com/s/ySyCQ89bDbC0XqJGGynSiA,128,5,3,2,http://upscuw.changba.com/1168356703.mp3,2019-05-31 00:00:00,2019-05-31 00:00:00,2019-05-31 00:00:00,False
90,Disturbia,http://changba.com/s/xp7qfi2NcZJdXt0iGc2X6Q,104,2,12,0,http://qiniuuwmp3.changba.com/1166466347.mp3,2019-05-25 00:00:00,2019-05-25 00:00:00,2019-05-25 00:00:00,False
91,Best Part,http://changba.com/s/5GkFBd24LfKYZeqCqT84yA,224,6,9,2,http://qiniuuwmp3.changba.com/1164376495.mp3,2019-05-18 00:00:00,2019-05-18 00:00:00,2019-05-18 00:00:00,False
92,彩虹,http://changba.com/s/tFniWu4i_G-SAU94MkTPug,255,4,26,1,http://qiniuuwmp3.changba.com/1164345873.mp3,2019-05-18 00:00:00,2019-05-18 00:00:00,2019-05-18 00:00:00,False
93,无言,http://changba.com/s/QNU-JUStGc8vYEVz-hly2w,62,3,4,1,http://qiniuuwmp3.changba.com/1163796689.mp3,2019-05-16 00:00:00,2019-05-16 00:00:00,2019-05-16 00:00:00,False
94,白月光,http://changba.com/s/tb38IScDkb3I4_TaH3QGTw,180,5,9,2,http://qiniuuwmp3.changba.com/1163791983.mp3,2019-05-16 00:00:00,2019-05-16 00:00:00,2019-05-16 00:00:00,False
95,那个男人,http://changba.com/s/1D3AqZ31we4b3Vmko22NqA,70,1,9,0,http://upscuw.changba.com/1163331913.mp3,2019-05-14 00:00:00,2019-05-14 00:00:00,2019-05-14 00:00:00,False
96,我愿意,http://changba.com/s/ySiYWOnD9iAfmXbkwDGGlA,78,3,2,1,http://qiniuuwmp3.changba.com/1163324997.mp3,2019-05-14 00:00:00,2019-05-14 00:00:00,2019-05-14 00:00:00,False
97,Peace,http://changba.com/s/KOvHslwe-6QRIOsoPy5jNQ,56,1,1,0,http://qiniuuwmp3.changba.com/1162683697.mp3,2019-05-12 00:00:00,2019-05-12 00:00:00,2019-05-12 00:00:00,False
98,Stay,http://changba.com/s/8sCVGjyWYT6uePL8xAHwaw,63,2,4,0,http://qiniuuwmp3.changba.com/1162683288.mp3,2019-05-12 00:00:00,2019-05-12 00:00:00,2019-05-12 00:00:00,False
99,Wish You Were Gay,http://changba.com/s/puwzB5-ZAUVXTEFTnrhh7A,100,5,13,2,http://upscuw.changba.com/1162681123.mp3,2019-05-12 00:00:00,2019-05-12 00:00:00,2019-05-12 00:00:00,False
100,I Love You,http://changba.com/s/nWnedSRz1B6_g04ES5Tdxw,150,4,4,2,http://qiniuuwmp3.changba.com/1162443678.mp3,2019-05-11 00:00:00,2019-05-11 00:00:00,2019-05-11 00:00:00,False
101,Dusk Till Dawn,http://changba.com/s/7M48_Np9UPCfu5cFN6aQNg,136,6,11,2,http://upscuw.changba.com/1162132325.mp3,2019-05-10 00:00:00,2019-05-10 00:00:00,2019-05-10 00:00:00,False
102,Said Too Much,http://changba.com/s/sQSIBIU3bIcvKmQZbmUFMg,75,5,17,0,http://upscuw.changba.com/1161407400.mp3,2019-05-07 00:00:00,2019-05-07 00:00:00,2019-05-07 00:00:00,False
103,好肉,http://changba.com/s/44xdJoKHVSzjT4mQiA26Kg,135,4,6,0,http://qiniuuwmp3.changba.com/1161204472.mp3,2019-05-06 00:00:00,2019-05-06 00:00:00,2019-05-06 00:00:00,False
104,Try,http://changba.com/s/Uuxb34FfU5-KsF2CbFI3zQ,132,3,14,0,http://upscuw.changba.com/1161148108.mp3,2019-05-06 00:00:00,2019-05-06 00:00:00,2019-05-06 00:00:00,False
105,Move Your Body,http://changba.com/s/34IZFT8M1xu7HNZQSIO7nQ,289,4,3,2,http://upscuw.changba.com/1160925115.mp3,2019-05-05 00:00:00,2019-05-05 00:00:00,2019-05-05 00:00:00,False
106,Glitter In The Air,http://changba.com/s/BuTYmVVpig3s7ErrOwsJVA,58,1,1,0,http://qiniuuwmp3.changba.com/1160723989.mp3,2019-05-04 00:00:00,2019-05-04 00:00:00,2019-05-04 00:00:00,False
107,山丘,http://changba.com/s/BdO9ovJBF_LcBQ2PlgIofA,144,5,4,1,http://qiniuuwmp3.changba.com/1159685667.mp3,2019-04-30 00:00:00,2019-04-30 00:00:00,2019-04-30 00:00:00,False
108,水星记,http://changba.com/s/WQ2pg76g7rXlUs9uULVmzQ,141,3,10,0,http://upscuw.changba.com/1158991324.mp3,2019-04-27 00:00:00,2019-04-27 00:00:00,2019-04-27 00:00:00,False
109,Can You Feel My World,http://changba.com/s/5h1ilFKTo2JrQU2dTRh7rQ,48,3,2,0,http://upscuw.changba.com/1158990329.mp3,2019-04-27 00:00:00,2019-04-27 00:00:00,2019-04-27 00:00:00,False
110,Dont Hurt Yourself,http://changba.com/s/9WHxFNKy3Fsx3H0W0D6UBw,144,2,6,0,http://upscuw.changba.com/1158220017.mp3,2019-04-24 00:00:00,2019-04-24 00:00:00,2019-04-24 00:00:00,False
111,馋,http://changba.com/s/gGI7H4cE71mZx6Y0FeX49A,102,3,10,2,http://upscuw.changba.com/1157998607.mp3,2019-04-23 00:00:00,2019-04-23 00:00:00,2019-04-23 00:00:00,False
112,没有意外,http://changba.com/s/8ulDOLBdy7ziKXtpb_2F9Q,191,10,4,2,http://qiniuuwmp3.changba.com/1154900252.mp3,2019-04-11 00:00:00,2019-04-11 00:00:00,2019-04-11 00:00:00,False
113,My Happy Ending,http://changba.com/s/yX6uHKjypYZE2WwlPa9q1A,87,3,3,0,http://upscuw.changba.com/1154432802.mp3,2019-04-09 00:00:00,2019-04-09 00:00:00,2019-04-09 00:00:00,False
114,If I Were A Boy,http://changba.com/s/j-NSeQAPUz4gKqfT7yfQ8Q,145,5,18,0,http://qiniuuwmp3.changba.com/1154432784.mp3,2019-04-09 00:00:00,2019-04-09 00:00:00,2019-04-09 00:00:00,False
115,勇敢,http://changba.com/s/j-NSeQAPUz4x1gvKKUe2lw,88,2,4,1,http://qiniuuwmp3.changba.com/1154432748.mp3,2019-04-09 00:00:00,2019-04-09 00:00:00,2019-04-09 00:00:00,False
116,Die For You,http://changba.com/s/B3c5A8xrGNKtXfMZU1BeSQ,112,5,5,0,http://qiniuuwmp3.changba.com/1153768489.mp3,2019-04-06 00:00:00,2019-04-06 00:00:00,2019-04-06 00:00:00,False
117,对爱渴望,http://changba.com/s/A02l_uJzGuQEF4uNaKQgwg,107,2,2,1,http://upscuw.changba.com/1153722437.mp3,2019-04-06 00:00:00,2019-04-06 00:00:00,2019-04-06 00:00:00,False
118,Rewrite The Stars,http://changba.com/s/uMTzLveIBhtdKVaE6reeEg,117,2,7,1,http://qiniuuwmp3.changba.com/1153427460.mp3,2019-04-05 00:00:00,2019-04-05 00:00:00,2019-04-05 00:00:00,False
119,Bad Guy,http://changba.com/s/JpyIpRr7KqheeRiGq1Dm-g,372,15,29,5,http://upscuw.changba.com/1152714410.mp3,2019-04-04 00:00:00,2019-04-04 00:00:00,2019-04-04 00:00:00,False
120,Ocean Eyes,http://changba.com/s/lFeCEbCAUXhxxhZtZDtp1w,157,3,3,0,http://qiniuuwmp3.changba.com/1152712896.mp3,2019-04-02 00:00:00,2019-04-02 00:00:00,2019-04-02 00:00:00,False
121,When The Party's Over,http://changba.com/s/UXmGWkgRY1ap4qogdnbxZQ,127,1,1,1,http://qiniuuwmp3.changba.com/1152712785.mp3,2019-04-02 00:00:00,2019-04-02 00:00:00,2019-04-02 00:00:00,False
122,Frozen,http://changba.com/s/Yn0o379c5kZWPlTYhh4hzQ,,,,,,,2019-04-02 00:00:00,2019-03-28 00:00:00,True
123,慢慢喜欢你,http://changba.com/s/Bz1F90SR0L__tcU-Ln3TRA,171,5,5,1,http://upscuw.changba.com/1151439729.mp3,2019-03-28 00:00:00,2019-03-28 00:00:00,2019-03-28 00:00:00,False
